               epoch;      train/box_loss;      train/obj_loss;      train/cls_loss;   metrics/precision;      metrics/recall;     metrics/mAP_0.5;metrics/mAP_0.5:0.95;        val/box_loss;        val/obj_loss;        val/cls_loss;               x/lr0;               x/lr1;               x/lr2;;;
68;            0.052333;             0.01968;           0.0045792;             0.58162;             0.66797;             0.62963;             0.18644;            0.060045;            0.020694;           0.0034903;             0.00413;             0.00413;             0.06283;;;
69;             0.05665;            0.017573;           0.0043266;             0.55491;             0.71204;              0.6816;             0.27955;            0.062471;            0.020045;           0.0034617;             0.00419;             0.00419;             0.06229;;;
70;            0.053549;            0.017807;           0.0045659;             0.48271;             0.74726;             0.57414;             0.26137;            0.047461;            0.020107;           0.0035512;             0.00425;             0.00425;             0.06175;;;
71;            0.053059;            0.018153;           0.0054523;             0.61597;             0.68983;             0.72773;             0.33798;            0.047685;            0.022445;           0.0044675;             0.00431;             0.00431;             0.06121;;;
72;            0.050852;            0.017806;           0.0044615;               0.617;             0.75866;             0.68888;             0.31408;             0.05987;             0.02034;           0.0031519;             0.00437;             0.00437;             0.06067;;;
73;            0.050716;             0.01842;           0.0041744;             0.74971;             0.74272;             0.82026;             0.43145;            0.043954;            0.020125;           0.0035462;             0.00443;             0.00443;             0.06013;;;
74;            0.053528;            0.018349;           0.0050557;              0.5526;             0.70134;             0.60326;             0.26729;            0.053842;             0.01976;           0.0039169;             0.00449;             0.00449;             0.05959;;;
75;            0.056064;            0.018597;           0.0046603;             0.65995;             0.72478;             0.69489;              0.2493;            0.065698;            0.019264;           0.0037585;             0.00455;             0.00455;             0.05905;;;
76;            0.055396;            0.018007;           0.0048932;             0.54636;             0.73429;             0.63488;             0.25653;            0.054093;            0.020652;           0.0033763;             0.00461;             0.00461;             0.05851;;;
77;            0.051098;            0.016344;           0.0050917;             0.66386;             0.72242;             0.70262;             0.30817;            0.045886;            0.023509;            0.010748;             0.00467;             0.00467;             0.05797;;;
78;            0.049487;             0.01833;           0.0052545;             0.73861;             0.80682;             0.84029;             0.37629;            0.042314;            0.021148;            0.004981;             0.00473;             0.00473;             0.05743;;;
79;            0.050789;            0.018458;           0.0046164;             0.64185;             0.80182;             0.74524;             0.32678;            0.047513;            0.021671;           0.0036255;             0.00479;             0.00479;             0.05689;;;
80;            0.052417;            0.018148;           0.0042305;             0.68835;             0.75397;             0.73744;             0.32693;            0.058412;            0.019972;            0.003397;             0.00485;             0.00485;             0.05635;;;
81;            0.051925;            0.017046;           0.0045075;             0.84063;             0.82624;             0.85386;             0.43852;            0.036811;            0.021204;           0.0038337;             0.00491;             0.00491;             0.05581;;;
82;             0.04842;            0.019448;           0.0040475;             0.70657;             0.78275;             0.78704;             0.36467;            0.045257;            0.021722;           0.0038453;             0.00497;             0.00497;             0.05527;;;
83;            0.049004;             0.01736;           0.0046364;             0.67001;             0.83283;             0.77367;             0.37497;            0.041117;            0.020074;           0.0047298;             0.00503;             0.00503;             0.05473;;;
84;            0.048262;            0.016686;           0.0046042;             0.69083;             0.83219;             0.79933;             0.42184;            0.041245;             0.02108;           0.0038245;             0.00509;             0.00509;             0.05419;;;
85;            0.049926;            0.015634;           0.0038271;             0.75031;             0.73608;             0.80986;             0.37401;            0.053311;            0.020828;            0.003691;             0.00515;             0.00515;             0.05365;;;
86;            0.048544;            0.015853;           0.0040789;             0.63533;             0.76848;             0.76554;             0.37886;             0.04364;            0.021619;           0.0034938;             0.00521;             0.00521;             0.05311;;;
87;            0.049212;            0.017047;           0.0044763;             0.68931;             0.77332;             0.75779;             0.37604;            0.044417;            0.019024;           0.0035151;             0.00527;             0.00527;             0.05257;;;
88;            0.050254;            0.016425;           0.0037533;             0.83145;             0.77584;             0.84899;              0.4655;            0.040489;            0.020035;             0.00356;             0.00533;             0.00533;             0.05203;;;
89;            0.045291;            0.018293;           0.0040683;             0.93498;             0.85991;             0.93351;             0.57307;            0.037212;            0.019048;           0.0034979;             0.00539;             0.00539;             0.05149;;;
90;            0.048148;            0.017282;           0.0037082;             0.75043;             0.79894;             0.77112;             0.32487;            0.045661;            0.020406;           0.0033386;             0.00545;             0.00545;             0.05095;;;
91;            0.047335;            0.016972;           0.0040788;             0.86037;             0.81093;             0.87128;              0.4567;            0.037827;            0.020079;           0.0033326;             0.00551;             0.00551;             0.05041;;;
92;            0.047282;            0.017869;           0.0041794;             0.79843;             0.81197;             0.89236;             0.49162;            0.046529;            0.019887;           0.0034348;             0.00557;             0.00557;             0.04987;;;
93;            0.047922;             0.01826;           0.0040245;             0.70338;             0.76321;             0.77369;             0.35208;            0.042566;            0.020578;           0.0036972;             0.00563;             0.00563;             0.04933;;;
94;            0.045674;            0.017079;           0.0038599;             0.73213;             0.79155;             0.81035;               0.451;            0.038365;            0.019315;            0.003175;             0.00569;             0.00569;             0.04879;;;
95;            0.046288;            0.017416;           0.0042337;             0.72666;              0.7621;             0.82371;             0.45178;            0.045627;            0.019322;           0.0032452;             0.00575;             0.00575;             0.04825;;;
96;             0.04443;            0.017109;           0.0034788;             0.90363;              0.8626;             0.91714;             0.55563;            0.033818;             0.01877;           0.0036069;             0.00581;             0.00581;             0.04771;;;
97;            0.045457;             0.01852;           0.0042159;             0.79285;             0.81131;             0.85997;             0.48202;            0.047524;            0.019848;           0.0042059;             0.00587;             0.00587;             0.04717;;;
98;            0.046824;            0.017826;           0.0039951;             0.70055;             0.80405;             0.78612;             0.43333;            0.045864;            0.025079;           0.0036335;           0.0059299;           0.0059299;             0.04663;;;
99;            0.044589;            0.021483;           0.0046901;             0.74572;             0.71486;             0.77698;             0.32881;            0.046061;            0.022924;           0.0041908;           0.0059899;           0.0059899;             0.04609;;;
100;            0.044931;            0.018213;            0.003595;             0.78329;               0.756;             0.85744;             0.46525;            0.042136;            0.020992;           0.0036793;           0.0060499;           0.0060499;             0.04555;;;
101;            0.046152;            0.016177;            0.003859;             0.78557;             0.82146;             0.82691;             0.43446;             0.03853;            0.019991;           0.0035349;           0.0061099;           0.0061099;             0.04501;;;
102;            0.043327;            0.016218;           0.0035429;             0.84543;             0.80225;             0.87179;             0.51996;            0.043721;            0.019337;           0.0032512;           0.0061699;           0.0061699;             0.04447;;;
103;            0.044776;            0.016873;           0.0033837;             0.89237;               0.807;             0.89388;             0.54953;            0.033714;            0.022643;           0.0034442;           0.0062299;           0.0062299;             0.04393;;;
104;             0.04038;            0.017628;           0.0036086;             0.90662;             0.87975;             0.93264;             0.55201;            0.033468;            0.018747;           0.0030775;           0.0062899;           0.0062899;             0.04339;;;
105;            0.039909;            0.017851;           0.0043603;             0.80283;             0.83059;             0.90522;             0.58307;            0.036666;            0.021147;           0.0038794;           0.0063499;           0.0063499;             0.04285;;;
106;            0.040218;             0.01553;           0.0031118;              0.8175;             0.81698;             0.85172;             0.49959;            0.038525;            0.019849;           0.0028993;           0.0064099;           0.0064099;             0.04231;;;
107;            0.042425;            0.017008;           0.0036413;             0.82366;             0.85359;              0.8552;             0.49096;            0.040587;            0.019906;           0.0028929;           0.0064699;           0.0064699;             0.04177;;;
108;            0.041452;            0.016054;           0.0037024;             0.81683;             0.86318;             0.86285;             0.45963;            0.036298;            0.020276;           0.0031632;           0.0065299;           0.0065299;             0.04123;;;
109;            0.041749;            0.014734;           0.0030408;             0.79157;             0.81865;             0.87618;             0.46419;            0.046402;            0.019896;           0.0027114;           0.0065899;           0.0065899;             0.04069;;;
110;            0.040879;            0.017898;           0.0031479;             0.91464;             0.83801;             0.92637;             0.47183;            0.034588;            0.020284;           0.0033732;           0.0066499;           0.0066499;             0.04015;;;
111;            0.042042;            0.016725;           0.0034537;             0.71089;             0.79965;             0.82343;             0.42282;            0.045934;            0.023434;           0.0029367;           0.0067099;           0.0067099;             0.03961;;;
112;            0.042132;            0.015337;            0.003089;             0.81491;             0.81026;             0.87883;             0.43356;             0.04067;            0.020274;           0.0028889;           0.0067699;           0.0067699;             0.03907;;;
113;            0.042191;             0.01717;             0.00387;              0.8522;              0.8379;             0.87768;             0.55688;            0.035323;            0.020061;           0.0034125;           0.0068299;           0.0068299;             0.03853;;;
114;            0.043225;            0.016448;           0.0032152;             0.91999;             0.82172;             0.91536;             0.52569;            0.041313;            0.020805;            0.002999;           0.0068899;           0.0068899;             0.03799;;;
115;             0.04224;            0.017771;            0.003237;             0.76724;             0.82131;             0.84969;             0.48753;             0.03931;            0.020801;           0.0040129;           0.0069499;           0.0069499;             0.03745;;;
116;            0.040249;            0.016744;           0.0049876;             0.87733;              0.8104;             0.90217;             0.54955;            0.036011;             0.02154;           0.0038419;           0.0070099;           0.0070099;             0.03691;;;
117;            0.040978;            0.016385;           0.0036843;             0.83582;             0.84032;             0.86719;             0.46378;            0.039565;            0.021484;           0.0029665;           0.0070699;           0.0070699;             0.03637;;;
118;            0.042607;            0.017046;           0.0035026;             0.84266;             0.84606;             0.90492;             0.57548;            0.036266;             0.02013;           0.0029861;           0.0071299;           0.0071299;             0.03583;;;
119;            0.040164;            0.015109;           0.0032659;             0.73031;             0.84724;             0.84481;             0.49455;            0.038167;            0.023076;           0.0031464;           0.0071899;           0.0071899;             0.03529;;;
120;            0.040915;            0.015995;           0.0041492;             0.86066;             0.78503;             0.88163;             0.50844;            0.038913;            0.021392;           0.0034315;           0.0072499;           0.0072499;             0.03475;;;
121;            0.039468;            0.016175;           0.0033139;             0.93484;             0.90497;             0.95543;             0.54545;            0.034184;             0.01868;            0.003142;           0.0073099;           0.0073099;             0.03421;;;
122;            0.041007;            0.015313;           0.0035802;             0.92348;             0.83733;             0.89869;             0.54756;            0.035485;            0.020104;           0.0032584;           0.0073699;           0.0073699;             0.03367;;;
123;            0.038523;            0.016706;           0.0033114;             0.89995;             0.86098;             0.91569;             0.56656;            0.034586;            0.018504;           0.0028911;           0.0074299;           0.0074299;             0.03313;;;
124;            0.036671;            0.015362;           0.0031657;             0.94611;              0.8555;             0.94564;             0.65772;            0.028884;            0.018977;           0.0028802;           0.0074899;           0.0074899;             0.03259;;;
125;            0.038102;             0.01659;           0.0037769;             0.82503;             0.81047;             0.88141;             0.52496;            0.039566;            0.020388;             0.00318;           0.0075499;           0.0075499;             0.03205;;;
126;            0.037966;            0.016249;           0.0030217;              0.9168;             0.83084;              0.9192;             0.50606;            0.038238;            0.019742;           0.0026288;           0.0076099;           0.0076099;             0.03151;;;
127;            0.038704;            0.017198;            0.003389;             0.89806;             0.79908;             0.89912;             0.55092;            0.034711;            0.022536;           0.0028789;           0.0076699;           0.0076699;             0.03097;;;
128;            0.038314;            0.017777;           0.0029975;             0.90623;             0.87805;             0.91813;             0.50544;            0.032571;            0.021007;           0.0035897;           0.0077299;           0.0077299;             0.03043;;;
129;            0.038557;            0.016883;           0.0031395;             0.94167;             0.86602;              0.9301;             0.51546;            0.038143;            0.019176;           0.0032419;           0.0077899;           0.0077899;             0.02989;;;
130;            0.039264;             0.01458;            0.003144;             0.85225;             0.77882;             0.89245;             0.56965;            0.033862;            0.020076;           0.0035662;           0.0078499;           0.0078499;             0.02935;;;
131;            0.035605;            0.015583;           0.0032374;             0.92624;             0.81923;             0.89203;             0.53179;            0.035506;            0.020386;           0.0032155;           0.0079099;           0.0079099;             0.02881;;;
132;            0.037798;            0.015473;           0.0031633;             0.91491;             0.85689;             0.90238;             0.57073;            0.031419;            0.023722;           0.0030659;           0.0079699;           0.0079699;             0.02827;;;
133;            0.037215;            0.016031;           0.0031611;             0.79884;             0.82986;             0.86752;             0.50217;            0.034287;            0.022224;           0.0032861;           0.0080299;           0.0080299;             0.02773;;;
134;            0.036924;            0.016474;            0.002915;             0.79875;             0.85765;             0.88308;             0.52768;            0.032107;            0.020838;           0.0030592;           0.0080899;           0.0080899;             0.02719;;;
135;            0.035788;            0.015525;           0.0026949;             0.79459;             0.88336;             0.89868;              0.5458;            0.032169;            0.021126;            0.002664;           0.0081499;           0.0081499;             0.02665;;;
136;            0.035166;            0.016234;            0.002785;             0.82134;             0.84568;             0.90277;             0.55125;            0.031318;            0.019798;           0.0032417;           0.0082099;           0.0082099;             0.02611;;;
137;            0.038695;            0.015956;           0.0029094;             0.91166;             0.83264;             0.91923;             0.54704;            0.033137;             0.02137;           0.0028947;           0.0082699;           0.0082699;             0.02557;;;
138;            0.038469;            0.015943;           0.0026687;             0.89961;              0.8317;             0.89577;             0.50992;            0.037059;            0.024823;           0.0030978;           0.0083299;           0.0083299;             0.02503;;;
139;            0.036886;            0.015911;           0.0032075;              0.9275;              0.8325;             0.91196;             0.58432;            0.030629;            0.024301;            0.003413;           0.0083899;           0.0083899;             0.02449;;;
140;            0.037912;            0.015901;           0.0029379;             0.90814;             0.82932;             0.90842;             0.57081;            0.033531;            0.022743;             0.00267;           0.0084499;           0.0084499;             0.02395;;;
141;             0.03574;             0.01656;           0.0028782;             0.89757;             0.85983;             0.92276;              0.5302;            0.029818;            0.022691;           0.0028032;           0.0085098;           0.0085098;             0.02341;;;
142;            0.033355;            0.014682;           0.0030467;             0.90054;             0.86764;             0.91921;             0.58632;            0.030558;            0.023111;           0.0027045;           0.0085698;           0.0085698;             0.02287;;;
143;            0.035807;             0.01463;           0.0026565;             0.84297;             0.81005;             0.85878;             0.56058;             0.03178;            0.024829;           0.0029995;           0.0086298;           0.0086298;             0.02233;;;
144;            0.035011;            0.015599;           0.0029695;             0.90275;             0.79183;             0.89254;             0.53311;            0.034813;             0.02115;           0.0031013;           0.0086898;           0.0086898;             0.02179;;;
